trade_id,asset_class,overall_status,data_quality_status,reporting_scope_status,regulatory_conclusion,finding_type,rule_id,rule_name,regime,severity,field,status,message
T001,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T002,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T003,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Template matched with caveats.
T003,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T003,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,REFERENCE_RATE_ALIAS,Rates reference-rate codeset validation,GLOBAL,WARNING,reference_rate,,"GBP-SONIA-OIS-COMPOUND is not exact, but normalized alias GBP-SONIA-OIS Compound exists in the codeset."
T004,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped teaching-data OIS label to the ANNA-DSB Fixed_Float_OIS template.
T004,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T004,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T005,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Template matched with caveats.
T005,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T005,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LIBOR_WARNING,Rates reference-rate codeset validation,GLOBAL,WARNING,reference_rate,,GBP-LIBOR-BBA remains in the codeset but is a legacy LIBOR rate; warn rather than hard-fail.
T006,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped cap to the Rates.Option.CapFloor template.
